sol,name,udr_image_id,filter_used,comp_quality
155,McamRImage_0411249559-00000-1,13328,0,-95
318,McamRRecoveredProduct_0425716864-18336-1,13328,NULL,0
155,McamRImage_0411249600-00000-1,13329,0,-95
318,McamRRecoveredProduct_0425716867-37541-1,13329,NULL,0
155,McamRImage_0411249638-00000-1,13330,0,-95
318,McamRRecoveredProduct_0425716870-56001-1,13330,NULL,0
155,McamRImage_0411249676-00000-1,13331,0,-95
318,McamRRecoveredProduct_0425716874-06584-1,13331,NULL,0
155,McamRImage_0411249713-00000-1,13332,0,-95
318,McamRRecoveredProduct_0425716877-41905-1,13332,NULL,0
155,McamRImage_0411249750-00000-1,13333,0,-95
318,McamRRecoveredProduct_0425716880-64172-1,13333,NULL,0
155,McamRImage_0411249797-00000-1,13334,0,-95
318,McamRRecoveredProduct_0425716884-26503-1,13334,NULL,0
160,McamRImage_0411696299-00000-1,13657,1,-85
160,McamRImage_0411696299-00000-2,13657,NULL,-85
318,McamRRecoveredProduct_0425717024-43564-1,13657,NULL,0
160,McamRImage_0411696310-00000-1,13658,2,-85
160,McamRImage_0411696310-00000-2,13658,NULL,-85
318,McamRRecoveredProduct_0425717027-62270-1,13658,NULL,0
160,McamRImage_0411696322-00000-1,13659,3,-85
160,McamRImage_0411696322-00000-2,13659,NULL,-85
318,McamRRecoveredProduct_0425717031-20203-1,13659,NULL,0
160,McamRImage_0411696333-00000-1,13660,4,-85
160,McamRImage_0411696333-00000-2,13660,NULL,-85
318,McamRRecoveredProduct_0425717034-45693-1,13660,NULL,0
160,McamRImage_0411696344-00000-1,13661,5,-85
160,McamRImage_0411696344-00000-2,13661,NULL,-85
318,McamRRecoveredProduct_0425717038-09863-1,13661,NULL,0
160,McamRImage_0411696359-00000-1,13662,6,-85
160,McamRImage_0411696359-00000-2,13662,NULL,-85
318,McamRRecoveredProduct_0425717041-33429-1,13662,NULL,0
160,McamRImage_0411696382-00000-1,13663,0,-95
318,McamRRecoveredProduct_0425716887-62353-1,13663,NULL,0
172,McamRImage_0412760456-00000-1,14775,1,-85
318,McamRRecoveredProduct_0425717292-28572-1,14775,NULL,0
172,McamRImage_0412760468-00000-1,14776,2,-85
318,McamRRecoveredProduct_0425717295-43401-1,14776,NULL,0
172,McamRImage_0412760480-00000-1,14777,3,-95
318,McamRRecoveredProduct_0425717298-62030-1,14777,NULL,0
172,McamRImage_0412760491-00000-1,14778,4,-95
318,McamRRecoveredProduct_0425717302-14186-1,14778,NULL,0
172,McamRImage_0412760502-00000-1,14779,5,-95
318,McamRRecoveredProduct_0425717305-32257-1,14779,NULL,0
172,McamRImage_0412760515-00000-1,14780,6,-85
318,McamRRecoveredProduct_0425717308-47530-1,14780,NULL,0
174,McamRImage_0412937636-00000-1,15164,1,-85
174,McamRImage_0412937636-00000-2,15164,NULL,-85
318,McamRRecoveredProduct_0425717316-36577-1,15164,NULL,0
174,McamRImage_0412937646-00000-1,15165,2,-85
174,McamRImage_0412937646-00000-2,15165,NULL,-85
318,McamRRecoveredProduct_0425717319-51582-1,15165,NULL,0
174,McamRImage_0412937658-00000-1,15166,3,-95
174,McamRImage_0412937658-00000-2,15166,NULL,-95
318,McamRRecoveredProduct_0425717323-11731-1,15166,NULL,0
174,McamRImage_0412937669-00000-1,15167,4,-95
174,McamRImage_0412937669-00000-2,15167,NULL,-95
318,McamRRecoveredProduct_0425717326-38900-1,15167,NULL,0
174,McamRImage_0412937680-00000-1,15168,5,-95
174,McamRImage_0412937680-00000-2,15168,NULL,-95
318,McamRRecoveredProduct_0425717330-02737-1,15168,NULL,0
174,McamRImage_0412937694-00000-1,15169,6,-95
174,McamRImage_0412937694-00000-2,15169,NULL,-95
318,McamRRecoveredProduct_0425717333-27316-1,15169,NULL,0
181,McamRImage_0413560431-00000-1,15467,0,-95
318,McamRRecoveredProduct_0425717337-07544-1,15467,NULL,0
181,McamRImage_0413560462-00000-1,15468,1,-85
318,McamRRecoveredProduct_0425717340-26170-1,15468,NULL,0
181,McamRImage_0413560475-00000-1,15469,2,-85
318,McamRRecoveredProduct_0425717343-37263-1,15469,NULL,0
181,McamRImage_0413560486-00000-1,15470,3,-85
318,McamRRecoveredProduct_0425717346-55775-1,15470,NULL,0
181,McamRImage_0413560496-00000-1,15471,4,-85
318,McamRRecoveredProduct_0425717350-24512-1,15471,NULL,0
181,McamRImage_0413560507-00000-1,15472,5,-95
318,McamRRecoveredProduct_0425717353-51692-1,15472,NULL,0
181,McamRImage_0413560518-00000-1,15473,6,-95
318,McamRRecoveredProduct_0425717357-06741-1,15473,NULL,0
181,McamRImage_0413560540-00000-1,15474,0,-95
318,McamRRecoveredProduct_0425717360-28168-1,15474,NULL,0
181,McamRImage_0413560584-00000-1,15475,1,-85
318,McamRRecoveredProduct_0425717363-45045-1,15475,NULL,0
181,McamRImage_0413560596-00000-1,15476,2,-85
318,McamRRecoveredProduct_0425717366-56671-1,15476,NULL,0
181,McamRImage_0413560609-00000-1,15477,3,-85
318,McamRRecoveredProduct_0425717370-10173-1,15477,NULL,0
181,McamRImage_0413560619-00000-1,15478,4,-85
318,McamRRecoveredProduct_0425717373-32289-1,15478,NULL,0
181,McamRImage_0413560630-00000-1,15479,5,-95
318,McamRRecoveredProduct_0425717376-55198-1,15479,NULL,0
181,McamRImage_0413560641-00000-1,15480,6,-95
318,McamRRecoveredProduct_0425717380-12100-1,15480,NULL,0
181,McamRImage_0413560665-00000-1,15481,0,-95
318,McamRRecoveredProduct_0425717383-34147-1,15481,NULL,0
181,McamRImage_0413560709-00000-1,15482,1,-85
318,McamRRecoveredProduct_0425717386-53978-1,15482,NULL,0
181,McamRImage_0413560721-00000-1,15483,2,-85
318,McamRRecoveredProduct_0425717390-05044-1,15483,NULL,0
181,McamRImage_0413560733-00000-1,15484,3,-85
318,McamRRecoveredProduct_0425717393-31358-1,15484,NULL,0
181,McamRImage_0413560743-00000-1,15485,4,-85
